date,time,currency,impact,event
"Wed
Oct 30",2:30pm,CHF,yellow,UBS Economic Expectations
"Wed
Oct 30",2:30pm,EUR,yellow,Italian Prelim GDP q/q
"Wed
Oct 30",2:30pm,EUR,yellow,German Prelim GDP q/q
"Wed
Oct 30",6:00pm,USD,orange,Advance GDP Price Index q/q
"Thu
Oct 31",5:20am,JPY,yellow,Retail Sales y/y
"Thu
Oct 31",6:00am,AUD,yellow,Building Approvals m/m
"Thu
Oct 31",6:00am,AUD,yellow,Import Prices q/q
"Thu
Oct 31",6:00am,AUD,yellow,Private Sector Credit m/m
"Thu
Oct 31",7:00am,CNY,orange,Non-Manufacturing PMI
"Thu
Oct 31",8:18am,JPY,red,BOJ Policy Rate
"Thu
Oct 31",8:18am,JPY,red,Monetary Policy Statement
"Thu
Oct 31",12:30pm,EUR,yellow,German Retail Sales m/m
"Thu
Oct 31",2:30pm,EUR,yellow,Italian Monthly Unemployment Rate
"Thu
Oct 31",3:30pm,EUR,orange,CPI Flash Estimate y/y
"Thu
Oct 31",3:30pm,EUR,yellow,Italian Prelim CPI m/m
"Thu
Oct 31",3:30pm,EUR,yellow,Unemployment Rate
"Thu
Oct 31",6:00pm,USD,red,Core PCE Price Index m/m
"Thu
Oct 31",6:00pm,USD,red,Employment Cost Index q/q
"Thu
Oct 31",6:00pm,USD,red,Unemployment Claims
"Thu
Oct 31",6:00pm,USD,yellow,Personal Income m/m
"Thu
Oct 31",6:00pm,USD,yellow,Personal Spending m/m
